date,3Y1 Comdty,3Y2 Comdty,CN1 Comdty,CN2 Comdty,CV1 Comdty,CV2 Comdty,DU1 Comdty,DU2 Comdty,FV1 Comdty,FV2 Comdty,G 1 Comdty,G 2 Comdty,JB1 Comdty,JB2 Comdty,JM1 Comdty,JM2 Comdty,LB1 Comdty,LB2 Comdty,OE1 Comdty,OE2 Comdty,RX1 Comdty,RX2 Comdty,TU1 Comdty,TU2 Comdty,TY1 Comdty,TY2 Comdty,UB1 Comdty,UB2 Comdty,US1 Comdty,US2 Comdty,UXY1 Comdty,UXY2 Comdty,WB1 Comdty,WB2 Comdty,WN1 Comdty,WN2 Comdty,XM1 Comdty,XM2 Comdty,YM1 Comdty,YM2 Comdty
1980-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.59375,82.4375,,,,,,,,,,
1980-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.84375,81.59375,,,,,,,,,,
1980-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,80.75,,,,,,,,,,
1980-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,80.75,,,,,,,,,,
1980-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.4375,80.28125,,,,,,,,,,
1980-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.15625,80.9375,,,,,,,,,,
1980-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.4375,81.1875,,,,,,,,,,
1980-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.46875,81.25,,,,,,,,,,
1980-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.84375,80.59375,,,,,,,,,,
1980-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.46875,80.1875,,,,,,,,,,
1980-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.3125,80.09375,,,,,,,,,,
1980-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.5,80.3125,,,,,,,,,,
1980-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,79.6875,,,,,,,,,,
1980-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.90625,78.625,,,,,,,,,,
1980-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.59375,77.21875,,,,,,,,,,
1980-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0625,77.71875,,,,,,,,,,
1980-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.09375,77.75,,,,,,,,,,
1980-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.71875,76.28125,,,,,,,,,,
1980-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.90625,75.53125,,,,,,,,,,
1980-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.5625,75.1875,,,,,,,,,,
1980-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.875,74.46875,,,,,,,,,,
1980-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.6875,74.21875,,,,,,,,,,
1980-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.15625,74.6875,,,,,,,,,,
1980-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.4375,74.0,,,,,,,,,,
1980-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.875,73.53125,,,,,,,,,,
1980-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.03125,71.65625,,,,,,,,,,
1980-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.09375,69.65625,,,,,,,,,,
1980-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.21875,70.0,,,,,,,,,,
