date,3Y1 Comdty,3Y2 Comdty,CN1 Comdty,CN2 Comdty,CV1 Comdty,CV2 Comdty,DU1 Comdty,DU2 Comdty,FV1 Comdty,FV2 Comdty,G 1 Comdty,G 2 Comdty,JB1 Comdty,JB2 Comdty,JM1 Comdty,JM2 Comdty,LB1 Comdty,LB2 Comdty,OE1 Comdty,OE2 Comdty,RX1 Comdty,RX2 Comdty,TU1 Comdty,TU2 Comdty,TY1 Comdty,TY2 Comdty,UB1 Comdty,UB2 Comdty,US1 Comdty,US2 Comdty,UXY1 Comdty,UXY2 Comdty,WB1 Comdty,WB2 Comdty,WN1 Comdty,WN2 Comdty,XM1 Comdty,XM2 Comdty,YM1 Comdty,YM2 Comdty
1980-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2633.0,1076.0,,,,,,,,,,
1980-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6297.0,3107.0,,,,,,,,,,
1980-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7949.0,3444.0,,,,,,,,,,
1980-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7021.0,2123.0,,,,,,,,,,
1980-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7523.0,2677.0,,,,,,,,,,
1980-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9528.0,2868.0,,,,,,,,,,
1980-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6613.0,1397.0,,,,,,,,,,
1980-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5949.0,2173.0,,,,,,,,,,
1980-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7604.0,2333.0,,,,,,,,,,
1980-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9541.0,1908.0,,,,,,,,,,
1980-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7813.0,2016.0,,,,,,,,,,
1980-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6137.0,2187.0,,,,,,,,,,
1980-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9053.0,2345.0,,,,,,,,,,
1980-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8264.0,2142.0,,,,,,,,,,
1980-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8011.0,4311.0,,,,,,,,,,
1980-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7148.0,3081.0,,,,,,,,,,
1980-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4806.0,1799.0,,,,,,,,,,
1980-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8121.0,3012.0,,,,,,,,,,
1980-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6684.0,3456.0,,,,,,,,,,
1980-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6075.0,2202.0,,,,,,,,,,
1980-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7339.0,2667.0,,,,,,,,,,
1980-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8130.0,3835.0,,,,,,,,,,
1980-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7057.0,3544.0,,,,,,,,,,
1980-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7444.0,3561.0,,,,,,,,,,
1980-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7047.0,2248.0,,,,,,,,,,
1980-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10232.0,5573.0,,,,,,,,,,
1980-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7352.0,4916.0,,,,,,,,,,
1980-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8478.0,5843.0,,,,,,,,,,
1980-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8192.0,5467.0,,,,,,,,,,
1980-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5661.0,4182.0,,,,,,,,,,
1980-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3327.0,3927.0,,,,,,,,,,
1980-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6180.0,7418.0,,,,,,,,,,
1980-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4685.0,8243.0,,,,,,,,,,
1980-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3345.0,7232.0,,,,,,,,,,
1980-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3345.0,7232.0,,,,,,,,,,
1980-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1689.0,2569.0,,,,,,,,,,
1980-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3343.0,12301.0,,,,,,,,,,
1980-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2988.0,11071.0,,,,,,,,,,
1980-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2121.0,11008.0,,,,,,,,,,
1980-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1422.0,8836.0,,,,,,,,,,
1980-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1719.0,10128.0,,,,,,,,,,
1980-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2078.0,13588.0,,,,,,,,,,
1980-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1674.0,6312.0,,,,,,,,,,
1980-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,899.0,10336.0,,,,,,,,,,
1980-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613.0,8458.0,,,,,,,,,,
1980-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.0,9544.0,,,,,,,,,,
1980-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.0,6088.0,,,,,,,,,,
1980-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.0,8835.0,,,,,,,,,,
1980-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.0,8423.0,,,,,,,,,,
1980-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.0,7895.0,,,,,,,,,,
1980-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.0,10301.0,,,,,,,,,,
1980-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.0,9030.0,,,,,,,,,,
1980-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,11006.0,,,,,,,,,,
1980-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7506.0,,,,,,,,,,
1980-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,13513.0,,,,,,,,,,
1980-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706.0,17168.0,,,,,,,,,,
1980-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,11772.0,,,,,,,,,,
1980-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,14753.0,,,,,,,,,,
1980-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10631.0,1813.0,,,,,,,,,,
1980-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5820.0,1696.0,,,,,,,,,,
1980-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12256.0,2100.0,,,,,,,,,,
1980-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12693.0,2313.0,,,,,,,,,,
1980-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16006.0,5555.0,,,,,,,,,,
1980-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12334.0,5262.0,,,,,,,,,,
1980-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8650.0,2294.0,,,,,,,,,,
1980-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10714.0,2887.0,,,,,,,,,,
1980-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14646.0,3407.0,,,,,,,,,,
1980-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12025.0,2784.0,,,,,,,,,,
1980-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12025.0,2784.0,,,,,,,,,,
1980-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8538.0,3588.0,,,,,,,,,,
1980-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13958.0,3804.0,,,,,,,,,,
1980-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13683.0,3405.0,,,,,,,,,,
1980-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13742.0,3774.0,,,,,,,,,,
1980-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12641.0,4410.0,,,,,,,,,,
1980-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10065.0,3052.0,,,,,,,,,,
1980-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12065.0,3450.0,,,,,,,,,,
1980-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4982.0,2083.0,,,,,,,,,,
1980-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11738.0,5192.0,,,,,,,,,,
1980-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12361.0,5055.0,,,,,,,,,,
1980-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10989.0,3889.0,,,,,,,,,,
1980-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14330.0,4897.0,,,,,,,,,,
1980-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12826.0,5180.0,,,,,,,,,,
1980-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10120.0,4044.0,,,,,,,,,,
1980-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10745.0,4161.0,,,,,,,,,,
1980-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11177.0,5120.0,,,,,,,,,,
1980-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13446.0,5699.0,,,,,,,,,,
1980-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9281.0,3822.0,,,,,,,,,,
1980-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15590.0,7880.0,,,,,,,,,,
1980-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14204.0,7870.0,,,,,,,,,,
1980-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11622.0,6841.0,,,,,,,,,,
1980-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11481.0,5578.0,,,,,,,,,,
1980-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13655.0,7183.0,,,,,,,,,,
1980-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13740.0,8478.0,,,,,,,,,,
1980-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11936.0,8576.0,,,,,,,,,,
1980-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10922.0,8599.0,,,,,,,,,,
1980-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11200.0,7772.0,,,,,,,,,,
1980-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6991.0,8443.0,,,,,,,,,,
1980-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8152.0,9039.0,,,,,,,,,,
1980-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10461.0,10882.0,,,,,,,,,,
1980-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6405.0,7764.0,,,,,,,,,,
1980-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6007.0,9277.0,,,,,,,,,,
1980-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6089.0,12456.0,,,,,,,,,,
1980-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4643.0,10118.0,,,,,,,,,,
1980-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5863.0,10637.0,,,,,,,,,,
1980-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5863.0,10637.0,,,,,,,,,,
1980-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3115.0,13032.0,,,,,,,,,,
1980-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2827.0,13326.0,,,,,,,,,,
1980-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3720.0,15458.0,,,,,,,,,,
1980-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2110.0,13828.0,,,,,,,,,,
1980-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1693.0,12895.0,,,,,,,,,,
1980-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2036.0,16324.0,,,,,,,,,,
1980-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1122.0,14036.0,,,,,,,,,,
1980-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072.0,11784.0,,,,,,,,,,
1980-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2387.0,20970.0,,,,,,,,,,
1980-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1422.0,19930.0,,,,,,,,,,
1980-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1503.0,21523.0,,,,,,,,,,
1980-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651.0,16750.0,,,,,,,,,,
1980-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873.0,17264.0,,,,,,,,,,
1980-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,891.0,19310.0,,,,,,,,,,
1980-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.0,13961.0,,,,,,,,,,
1980-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,908.0,18796.0,,,,,,,,,,
1980-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.0,18209.0,,,,,,,,,,
1980-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,793.0,19152.0,,,,,,,,,,
1980-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14572.0,2341.0,,,,,,,,,,
1980-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18635.0,4140.0,,,,,,,,,,
1980-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19491.0,5029.0,,,,,,,,,,
1980-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20399.0,4791.0,,,,,,,,,,
1980-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20709.0,5703.0,,,,,,,,,,
1980-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20696.0,5234.0,,,,,,,,,,
1980-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18945.0,5299.0,,,,,,,,,,
1980-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20623.0,4162.0,,,,,,,,,,
1980-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17777.0,4501.0,,,,,,,,,,
1980-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17151.0,4635.0,,,,,,,,,,
1980-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17151.0,4635.0,,,,,,,,,,
1980-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15996.0,3978.0,,,,,,,,,,
1980-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23379.0,6054.0,,,,,,,,,,
1980-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13094.0,2561.0,,,,,,,,,,
1980-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12635.0,2792.0,,,,,,,,,,
1980-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16529.0,4364.0,,,,,,,,,,
1980-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15665.0,3607.0,,,,,,,,,,
1980-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15155.0,3388.0,,,,,,,,,,
1980-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21580.0,5525.0,,,,,,,,,,
1980-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19064.0,5245.0,,,,,,,,,,
1980-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12574.0,3511.0,,,,,,,,,,
1980-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12463.0,2938.0,,,,,,,,,,
1980-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15799.0,4296.0,,,,,,,,,,
1980-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14724.0,3975.0,,,,,,,,,,
1980-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9880.0,2718.0,,,,,,,,,,
1980-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10461.0,2844.0,,,,,,,,,,
1980-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11839.0,3186.0,,,,,,,,,,
1980-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13644.0,3143.0,,,,,,,,,,
1980-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16221.0,4635.0,,,,,,,,,,
1980-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19969.0,6297.0,,,,,,,,,,
1980-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12886.0,3760.0,,,,,,,,,,
1980-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12517.0,3413.0,,,,,,,,,,
1980-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12759.0,4127.0,,,,,,,,,,
1980-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14981.0,4333.0,,,,,,,,,,
1980-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14784.0,5596.0,,,,,,,,,,
1980-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12638.0,5689.0,,,,,,,,,,
1980-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13091.0,4110.0,,,,,,,,,,
1980-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15183.0,6504.0,,,,,,,,,,
1980-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13064.0,4899.0,,,,,,,,,,
1980-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11985.0,3912.0,,,,,,,,,,
1980-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12353.0,6808.0,,,,,,,,,,
1980-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12205.0,7594.0,,,,,,,,,,
1980-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13401.0,9359.0,,,,,,,,,,
1980-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12416.0,8284.0,,,,,,,,,,
1980-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13749.0,10793.0,,,,,,,,,,
1980-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9080.0,8066.0,,,,,,,,,,
1980-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5271.0,12217.0,,,,,,,,,,
1980-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4854.0,12182.0,,,,,,,,,,
1980-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3442.0,13408.0,,,,,,,,,,
1980-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5127.0,16381.0,,,,,,,,,,
1980-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3467.0,17649.0,,,,,,,,,,
1980-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3467.0,17649.0,,,,,,,,,,
1980-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2434.0,20649.0,,,,,,,,,,
1980-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2046.0,19985.0,,,,,,,,,,
1980-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770.0,13008.0,,,,,,,,,,
1980-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1396.0,19328.0,,,,,,,,,,
1980-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2105.0,14257.0,,,,,,,,,,
1980-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.0,16575.0,,,,,,,,,,
1980-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1049.0,17221.0,,,,,,,,,,
1980-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454.0,12520.0,,,,,,,,,,
1980-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888.0,15597.0,,,,,,,,,,
1980-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,767.0,14056.0,,,,,,,,,,
1980-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669.0,16768.0,,,,,,,,,,
1980-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558.0,17800.0,,,,,,,,,,
1980-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.0,14212.0,,,,,,,,,,
1980-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,845.0,15117.0,,,,,,,,,,
1980-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18966.0,4173.0,,,,,,,,,,
1980-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17894.0,3940.0,,,,,,,,,,
1980-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14439.0,1964.0,,,,,,,,,,
1980-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16990.0,4003.0,,,,,,,,,,
1980-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15019.0,3276.0,,,,,,,,,,
1980-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17149.0,3994.0,,,,,,,,,,
1980-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21174.0,3483.0,,,,,,,,,,
1980-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22281.0,3907.0,,,,,,,,,,
1980-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19152.0,3235.0,,,,,,,,,,
1980-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17788.0,4771.0,,,,,,,,,,
