country,US,US,US,US,US,US,US,UK,UK
tenor,2y,3y,5y,10y,Ultra 10y,Long Bond,Ultra Bond,Short Gilt,Long Gilt
date,,,,,,,,,
1980-01-01,,,,,,82.1875,,,
1980-01-02,,,,,,80.875,,,
1980-01-03,,,,,,80.5,,,
1980-01-04,,,,,,80.125,,,
1980-01-07,,,,,,80.25,,,
1980-01-08,,,,,,80.78125,,,
1980-01-09,,,,,,80.625,,,
1980-01-10,,,,,,81.03125,,,
1980-01-11,,,,,,79.90625,,,
1980-01-14,,,,,,79.625,,,
1980-01-15,,,,,,79.8125,,,
1980-01-16,,,,,,79.78125,,,
1980-01-17,,,,,,79.03125,,,
1980-01-18,,,,,,78.15625,,,
1980-01-21,,,,,,76.6875,,,
1980-01-22,,,,,,77.5625,,,
1980-01-23,,,,,,77.5,,,
1980-01-24,,,,,,75.90625,,,
1980-01-25,,,,,,75.0625,,,
1980-01-28,,,,,,74.78125,,,
1980-01-29,,,,,,74.03125,,,
1980-01-30,,,,,,74.25,,,
1980-01-31,,,,,,74.5,,,
1980-02-01,,,,,,73.8125,,,
1980-02-04,,,,,,73.03125,,,
1980-02-05,,,,,,71.09375,,,
1980-02-06,,,,,,70.3125,,,
1980-02-07,,,,,,71.25,,,
1980-02-08,,,,,,71.4375,,,
1980-02-11,,,,,,69.59375,,,
1980-02-12,,,,,,69.03125,,,
1980-02-13,,,,,,70.1875,,,
1980-02-14,,,,,,69.90625,,,
1980-02-15,,,,,,68.3125,,,
1980-02-18,,,,,,68.3125,,,
1980-02-19,,,,,,66.3125,,,
1980-02-20,,,,,,65.8125,,,
1980-02-21,,,,,,64.40625,,,
1980-02-22,,,,,,66.40625,,,
1980-02-25,,,,,,65.34375,,,
1980-02-26,,,,,,65.21875,,,
1980-02-27,,,,,,65.125,,,
1980-02-28,,,,,,67.125,,,
1980-02-29,,,,,,68.28125,,,
1980-03-03,,,,,,66.90625,,,
1980-03-04,,,,,,67.34375,,,
1980-03-05,,,,,,66.75,,,
1980-03-06,,,,,,65.3125,,,
1980-03-07,,,,,,66.40625,,,
1980-03-10,,,,,,68.375,,,
1980-03-11,,,,,,69.0,,,
1980-03-12,,,,,,67.3125,,,
1980-03-13,,,,,,68.15625,,,
1980-03-14,,,,,,68.03125,,,
1980-03-17,,,,,,68.65625,,,
1980-03-18,,,,,,69.25,,,
1980-03-19,,,,,,69.4375,,,
1980-03-20,,,,,,67.9375,,,
1980-03-21,,,,,,68.28125,,,
1980-03-24,,,,,,66.28125,,,
1980-03-25,,,,,,65.84375,,,
1980-03-26,,,,,,66.28125,,,
1980-03-27,,,,,,66.03125,,,
1980-03-28,,,,,,67.875,,,
1980-03-31,,,,,,67.84375,,,
1980-04-01,,,,,,68.5,,,
1980-04-02,,,,,,67.4375,,,
1980-04-03,,,,,,69.34375,,,
1980-04-04,,,,,,69.34375,,,
1980-04-07,,,,,,71.21875,,,
1980-04-08,,,,,,71.125,,,
1980-04-09,,,,,,71.0625,,,
1980-04-10,,,,,,72.53125,,,
1980-04-11,,,,,,73.78125,,,
1980-04-14,,,,,,73.1875,,,
1980-04-15,,,,,,73.6875,,,
1980-04-16,,,,,,75.6875,,,
1980-04-17,,,,,,76.6875,,,
1980-04-18,,,,,,76.75,,,
1980-04-21,,,,,,76.65625,,,
1980-04-22,,,,,,77.09375,,,
1980-04-23,,,,,,75.875,,,
1980-04-24,,,,,,75.34375,,,
1980-04-25,,,,,,75.375,,,
1980-04-28,,,,,,77.375,,,
1980-04-29,,,,,,77.21875,,,
1980-04-30,,,,,,77.0625,,,
1980-05-01,,,,,,78.375,,,
1980-05-02,,,,,,80.1875,,,
1980-05-05,,,,,,80.5625,,,
1980-05-06,,,,,,81.84375,,,
1980-05-07,,,,,,81.53125,,,
1980-05-08,,,,,,80.625,,,
1980-05-09,,,,,,80.3125,,,
1980-05-12,,,,,,79.71875,,,
1980-05-13,,,,,,80.375,,,
1980-05-14,,,,,,80.75,,,
1980-05-15,,,,,,78.75,,,
1980-05-16,,,,,,78.25,,,
1980-05-19,,,,,,77.09375,,,
1980-05-20,,,,,,79.09375,,,
1980-05-21,,,,,,80.1875,,,
1980-05-22,,,,,,79.9375,,,
1980-05-23,,,,,,81.90625,,,
1980-05-26,,,,,,81.90625,,,
1980-05-27,,,,,,81.375,,,
1980-05-28,,,,,,80.6875,,,
1980-05-29,,,,,,79.78125,,,
1980-05-30,,,,,,79.4375,,,
1980-06-02,,,,,,78.53125,,,
1980-06-03,,,,,,80.28125,,,
1980-06-04,,,,,,80.90625,,,
1980-06-05,,,,,,81.46875,,,
1980-06-06,,,,,,83.28125,,,
1980-06-09,,,,,,83.5,,,
1980-06-10,,,,,,83.03125,,,
1980-06-11,,,,,,83.75,,,
1980-06-12,,,,,,85.0,,,
1980-06-13,,,,,,86.21875,,,
1980-06-16,,,,,,86.21875,,,
1980-06-17,,,,,,85.65625,,,
1980-06-18,,,,,,85.1875,,,
1980-06-19,,,,,,85.78125,,,
1980-06-20,,,,,,85.71875,,,
1980-06-23,,,,,,83.84375,,,
1980-06-24,,,,,,83.9375,,,
1980-06-25,,,,,,83.15625,,,
1980-06-26,,,,,,82.0625,,,
1980-06-27,,,,,,81.09375,,,
1980-06-30,,,,,,81.1875,,,
1980-07-01,,,,,,79.875,,,
1980-07-02,,,,,,80.3125,,,
1980-07-03,,,,,,80.96875,,,
1980-07-04,,,,,,80.96875,,,
1980-07-07,,,,,,78.96875,,,
1980-07-08,,,,,,80.78125,,,
1980-07-09,,,,,,79.71875,,,
1980-07-10,,,,,,79.25,,,
1980-07-11,,,,,,78.3125,,,
1980-07-14,,,,,,77.75,,,
1980-07-15,,,,,,79.71875,,,
1980-07-16,,,,,,80.59375,,,
1980-07-17,,,,,,79.90625,,,
1980-07-18,,,,,,79.15625,,,
1980-07-21,,,,,,80.09375,,,
1980-07-22,,,,,,79.4375,,,
1980-07-23,,,,,,80.03125,,,
1980-07-24,,,,,,78.9375,,,
1980-07-25,,,,,,78.375,,,
1980-07-28,,,,,,77.59375,,,
1980-07-29,,,,,,77.875,,,
1980-07-30,,,,,,76.4375,,,
1980-07-31,,,,,,75.3125,,,
1980-08-01,,,,,,75.625,,,
1980-08-04,,,,,,76.53125,,,
1980-08-05,,,,,,75.9375,,,
1980-08-06,,,,,,76.34375,,,
1980-08-07,,,,,,76.875,,,
1980-08-08,,,,,,75.375,,,
1980-08-11,,,,,,74.375,,,
1980-08-12,,,,,,75.15625,,,
1980-08-13,,,,,,75.34375,,,
1980-08-14,,,,,,75.40625,,,
1980-08-15,,,,,,76.34375,,,
1980-08-18,,,,,,74.53125,,,
1980-08-19,,,,,,73.84375,,,
1980-08-20,,,,,,74.0,,,
1980-08-21,,,,,,73.90625,,,
1980-08-22,,,,,,74.53125,,,
1980-08-25,,,,,,73.34375,,,
1980-08-26,,,,,,73.3125,,,
1980-08-27,,,,,,72.53125,,,
1980-08-28,,,,,,71.6875,,,
1980-08-29,,,,,,73.15625,,,
1980-09-01,,,,,,73.15625,,,
1980-09-02,,,,,,74.28125,,,
1980-09-03,,,,,,74.90625,,,
1980-09-04,,,,,,74.65625,,,
1980-09-05,,,,,,74.3125,,,
1980-09-08,,,,,,73.71875,,,
1980-09-09,,,,,,74.53125,,,
1980-09-10,,,,,,74.5,,,
1980-09-11,,,,,,73.65625,,,
1980-09-12,,,,,,73.40625,,,
1980-09-15,,,,,,72.15625,,,
1980-09-16,,,,,,72.65625,,,
1980-09-17,,,,,,71.90625,,,
1980-09-18,,,,,,72.40625,,,
1980-09-19,,,,,,73.375,,,
1980-09-22,,,,,,71.1875,,,
1980-09-23,,,,,,70.875,,,
1980-09-24,,,,,,71.28125,,,
1980-09-25,,,,,,70.375,,,
1980-09-26,,,,,,69.6875,,,
1980-09-29,,,,,,68.90625,,,
1980-09-30,,,,,,70.6875,,,
1980-10-01,,,,,,70.5,,,
1980-10-02,,,,,,70.59375,,,
1980-10-03,,,,,,72.59375,,,
1980-10-06,,,,,,73.25,,,
1980-10-07,,,,,,72.75,,,
1980-10-08,,,,,,72.46875,,,
1980-10-09,,,,,,74.21875,,,
1980-10-10,,,,,,73.65625,,,
1980-10-13,,,,,,73.5,,,
1980-10-14,,,,,,74.0625,,,
1980-10-15,,,,,,74.28125,,,
1980-10-16,,,,,,73.15625,,,
1980-10-17,,,,,,72.1875,,,
1980-10-20,,,,,,72.15625,,,
1980-10-21,,,,,,71.40625,,,
1980-10-22,,,,,,70.8125,,,
1980-10-23,,,,,,70.71875,,,
1980-10-24,,,,,,71.25,,,
1980-10-27,,,,,,69.25,,,
1980-10-28,,,,,,68.25,,,
1980-10-29,,,,,,67.625,,,
1980-10-30,,,,,,67.46875,,,
1980-10-31,,,,,,67.8125,,,
1980-11-03,,,,,,68.09375,,,
1980-11-04,,,,,,68.09375,,,
1980-11-05,,,,,,66.53125,,,
1980-11-06,,,,,,66.0625,,,
1980-11-07,,,,,,67.40625,,,
1980-11-10,,,,,,66.375,,,
1980-11-11,,,,,,68.375,,,
1980-11-12,,,,,,68.9375,,,
1980-11-13,,,,,,69.0625,,,
