date,1Y,2Y,3Y,5Y,10Y,20Y,30Y
1990-01-04,6.313,6.098,6.014,5.925,5.707,5.598,
1990-01-05,6.313,6.101,6.036,5.946,5.736,5.628,
1990-01-08,6.343,6.146,6.079,5.982,5.797,5.68,
1990-01-09,6.461,6.247,6.174,6.168,5.965,5.807,
1990-01-10,6.484,6.314,6.239,6.232,6.015,5.853,
1990-01-11,6.487,6.314,6.239,6.232,6.056,5.904,
1990-01-12,6.532,6.375,6.32,6.304,6.214,6.035,
1990-01-16,6.581,6.478,6.466,6.443,6.411,6.23,
1990-01-17,6.56,6.468,6.442,6.423,6.381,6.238,
1990-01-18,6.56,6.57,6.539,6.486,6.526,6.36,
1990-01-19,6.56,6.57,6.539,6.476,6.437,6.353,
1990-01-22,6.548,6.567,6.538,6.475,6.403,6.318,
1990-01-23,6.558,6.567,6.538,6.448,6.353,6.282,
1990-01-24,6.584,6.62,6.567,6.476,6.433,6.302,
1990-01-25,6.56,6.573,6.519,6.402,6.269,6.252,
1990-01-26,6.535,6.54,6.494,6.381,6.228,6.224,
1990-01-29,6.545,6.545,6.497,6.383,6.235,6.186,
1990-01-30,6.595,6.566,6.527,6.409,6.287,6.21,
1990-01-31,6.587,6.595,6.544,6.455,6.376,6.26,
1990-02-01,6.577,6.595,6.505,6.419,6.221,6.18,
1990-02-02,6.577,6.627,6.544,6.429,6.238,6.165,
1990-02-05,6.626,6.66,6.553,6.458,6.288,6.191,
1990-02-06,6.626,6.66,6.553,6.458,6.279,6.176,
1990-02-07,6.636,6.666,6.561,6.467,6.271,6.176,
1990-02-08,6.615,6.668,6.576,6.492,6.272,6.214,
1990-02-09,6.615,6.668,6.564,6.473,6.199,6.17,
1990-02-13,6.635,6.673,6.568,6.475,6.195,6.155,
1990-02-14,6.629,6.692,6.586,6.511,6.234,6.162,
1990-02-15,6.629,6.692,6.589,6.532,6.257,6.168,
1990-02-16,6.661,6.73,6.627,6.559,6.283,6.206,
1990-02-19,6.707,6.778,6.674,6.585,6.327,6.248,
1990-02-20,6.75,6.828,6.721,6.621,6.384,6.291,
1990-02-21,6.761,6.828,6.724,6.622,6.34,6.285,
1990-02-22,6.761,6.828,6.692,6.596,6.26,6.255,
1990-02-23,6.793,6.875,6.737,6.62,6.344,6.318,
1990-02-26,6.835,6.897,6.757,6.619,6.351,6.347,
1990-02-27,6.947,6.952,6.774,6.637,6.382,6.368,
1990-02-28,6.96,6.974,6.793,6.676,6.436,6.391,
1990-03-01,6.974,6.993,6.832,6.72,6.537,6.438,
1990-03-02,7.028,7.089,6.928,6.8,6.592,6.487,
1990-03-05,7.059,7.111,6.946,6.826,6.585,6.516,
1990-03-06,7.079,7.142,6.954,6.826,6.56,6.437,
1990-03-07,7.117,7.18,6.993,6.842,6.652,6.459,
1990-03-08,7.173,7.219,7.019,6.869,6.631,6.458,
1990-03-09,7.219,7.245,7.034,6.896,6.643,6.471,
1990-03-12,7.24,7.267,7.055,6.914,6.682,6.513,
1990-03-13,7.276,7.295,7.083,6.961,6.761,6.584,
1990-03-14,7.318,7.335,7.081,6.979,6.772,6.591,
1990-03-15,7.327,7.335,7.071,6.97,6.736,6.591,
1990-03-16,7.338,7.334,7.071,6.97,6.68,6.576,
1990-03-19,7.395,7.384,7.1,6.996,6.724,6.604,
1990-03-20,7.395,7.384,7.1,7.026,6.687,6.604,
1990-03-22,7.387,7.382,7.098,7.025,6.688,6.605,
1990-03-23,7.361,7.355,7.07,6.997,6.636,6.589,
1990-03-26,7.367,7.355,7.072,6.978,6.639,6.602,
1990-03-27,7.403,7.392,7.109,7.01,6.766,6.695,
1990-03-28,7.403,7.393,7.138,7.065,6.807,6.723,
1990-03-29,7.366,7.356,7.112,7.011,6.689,6.68,
1990-03-30,7.366,7.356,7.109,7.075,6.816,6.749,
1990-04-02,7.386,7.373,7.109,7.093,6.832,6.763,
1990-04-03,7.408,7.373,7.109,7.096,6.785,6.757,
1990-04-04,7.386,7.373,7.109,7.104,6.799,6.763,
1990-04-05,7.365,7.354,7.091,7.096,6.775,6.754,
1990-04-06,7.344,7.334,7.08,7.087,6.808,6.763,
1990-04-09,7.306,7.296,7.046,7.04,6.736,6.743,
1990-04-10,7.279,7.267,7.018,7.013,6.769,6.743,
1990-04-11,7.279,7.267,7.018,7.012,6.826,6.756,
1990-04-12,7.261,7.245,7.001,6.985,6.771,6.729,
1990-04-13,7.258,7.25,7.0,6.994,6.792,6.727,
1990-04-16,7.24,7.219,7.002,7.004,6.816,6.736,
1990-04-17,7.248,7.218,7.002,7.004,6.789,6.728,
1990-04-18,7.236,7.215,7.0,6.995,6.748,6.715,
1990-04-19,7.236,7.215,7.0,6.976,6.69,6.693,
1990-04-20,7.207,7.188,6.972,6.976,6.679,6.694,
1990-04-23,7.192,7.165,6.974,6.976,6.692,6.695,
1990-04-24,7.162,7.135,6.977,6.978,6.722,6.7,
1990-04-25,7.162,7.139,6.977,6.968,6.731,6.7,
1990-04-26,7.135,7.117,6.958,6.942,6.696,6.686,
1990-04-27,7.145,7.117,6.958,6.942,6.723,6.7,
