date,US_1Y,US_2Y,US_3Y,US_5Y,US_10Y,US_20Y,US_30Y,DE_1Y,DE_2Y,DE_3Y,DE_5Y,DE_10Y,DE_20Y,DE_30Y,UK_1Y,UK_2Y,UK_3Y,UK_5Y,UK_10Y,UK_20Y
2005-12-28,-6.532842335846764e-06,-7.323916620304229e-06,-6.7868216819279536e-06,-7.356226552932469e-06,-7.961534376945736e-06,-6.924872352755775e-06,-6.395990987256725e-06,-0.2016449327948822,1.671392293158225e-05,1.8327651947658442e-05,1.8989342275246053e-05,1.6453251458711963e-05,1.2893254798545788e-05,1.1600113208188091e-05,4.304624654088436e-06,6.804270589495513e-06,7.875109357042183e-06,8.967781436886854e-06,9.245475779562253e-06,6.9320764661599385e-06
2005-12-29,-5.5423115226220554e-06,-6.9258817682374665e-06,-6.598409135687983e-06,-6.983001447950501e-06,-7.891615202256225e-06,-6.948642391337589e-06,-6.091683755660526e-06,-0.20164873321388951,1.5827038196710724e-05,1.742464066629628e-05,1.8196125498384793e-05,1.5979035330491114e-05,1.2582792323460406e-05,1.1305865812607127e-05,4.514308611728345e-06,7.008700325565951e-06,8.10695401450397e-06,9.32969961006004e-06,9.901702673831204e-06,7.430252516452302e-06
2005-12-30,-5.475199759916622e-06,-6.854074385792548e-06,-6.561258590946496e-06,-6.934231770095572e-06,-7.975629526326978e-06,-7.095901365674475e-06,-6.2341143306113234e-06,-0.20164843007845829,1.5848495651149096e-05,1.743207672670756e-05,1.8226540429092155e-05,1.6033529247533396e-05,1.2520326135811093e-05,1.1174091372503675e-05,4.6366571693688794e-06,7.058419511292728e-06,8.130790721442923e-06,9.334804906876391e-06,9.898948718575956e-06,7.466705915311613e-06
2006-01-02,-5.274395990883674e-06,-6.248031948264562e-06,-5.738029132099512e-06,-6.191562763273284e-06,-6.945375943145373e-06,-5.9587858822352065e-06,-5.401726419885315e-06,-0.20165463666043992,1.5195677805501763e-05,1.7068585079747468e-05,1.866141912523165e-05,1.6952846954284785e-05,1.1976648467113928e-05,9.772744459295576e-06,4.701648777445619e-06,7.163469558168563e-06,8.218007063482294e-06,9.403435399872172e-06,1.0051049436373556e-05,7.761774047153707e-06
2006-01-03,-4.576758821760544e-06,-5.433752368119696e-06,-4.986738408877951e-06,-5.402119259438053e-06,-6.072009862379151e-06,-5.2273006761079165e-06,-4.776955765368333e-06,-0.20166021510128612,1.493585489670217e-05,1.7051380209013704e-05,1.9742705557125008e-05,1.9570535541105244e-05,1.3874293061815038e-05,1.1088671906408727e-05,3.9059613712691194e-06,6.053443556890556e-06,6.9930945731848875e-06,8.061895454372797e-06,8.663248261417976e-06,6.6900538558726385e-06
2006-01-04,-4.804240844477383e-06,-6.179299702688476e-06,-5.762818151225086e-06,-6.109956936451603e-06,-6.6439199611230586e-06,-5.605219586182868e-06,-5.114056182077508e-06,-0.20165745830910653,1.4905016019554934e-05,1.6979913165358618e-05,1.9667521572972976e-05,1.9567592686714842e-05,1.3817208872698051e-05,1.096332035863947e-05,3.852909932108552e-06,5.971809214315602e-06,6.868315289041114e-06,7.899718467765205e-06,8.568950455734395e-06,6.58177818768429e-06
2006-01-05,-4.061718845845687e-06,-5.505767030098833e-06,-5.396066114222126e-06,-5.766673511920354e-06,-6.5263783035521025e-06,-5.306714441545308e-06,-5.904682629192364e-06,-0.2016534239044439,1.5880718990247978e-05,1.7812456363807914e-05,2.0008349485994044e-05,1.998882217391703e-05,1.537413591188716e-05,1.303783209208051e-05,3.718453205946214e-06,5.841209677241335e-06,6.767190127944454e-06,7.823990164949156e-06,8.489836263518324e-06,6.686974915510003e-06
2006-01-06,-4.0188388281015146e-06,-5.418391311838053e-06,-5.276716987244433e-06,-5.654176790353677e-06,-6.7351579231542475e-06,-5.943045715736091e-06,-6.015968596886433e-06,-0.20164948631914276,1.7037907194828668e-05,1.891575738396267e-05,2.101820963515472e-05,2.0829045824183474e-05,1.5811269590214205e-05,1.3284230251766675e-05,3.513655635006421e-06,5.5652274707910335e-06,6.466853303292691e-06,7.51614588746858e-06,8.23664164033671e-06,6.5783155802849245e-06
2006-01-09,-4.023308198794883e-06,-5.442352021840121e-06,-5.260858985516551e-06,-5.6449392440405555e-06,-6.716164843197581e-06,-5.94826971588224e-06,-5.9958804223472056e-06,-0.20164990830923374,1.69608288579436e-05,1.8826615380972558e-05,2.093593762527641e-05,2.078462536516458e-05,1.5803035458439933e-05,1.329032348656395e-05,3.453326604816286e-06,5.4969628824022025e-06,6.415242063565638e-06,7.4918069671788345e-06,8.256692658219195e-06,6.666394677443266e-06
2006-01-10,-7.432384913811799e-06,-1.2845979336474753e-05,-1.4438032927262343e-05,-1.687503240327954e-05,-1.6561109193906426e-05,-1.5802749883219707e-05,-1.367159968532015e-05,-6.5789437944567685e-06,-8.748293602991147e-06,-9.760583476297656e-06,-1.067798172328481e-05,-1.043542421092543e-05,-9.087832111952279e-06,-8.512970969825683e-06,-6.528017850817905e-06,-1.0906289838777389e-05,-1.223648258219181e-05,-1.3268123764217097e-05,-1.3489906485430517e-05,0.2016154641359389
